year,futures,qual_chall,singles,total
1968,,,0.5007270323859881,0.5007270323859881
1969,,,0.3616197183098591,0.3616197183098591
1970,,,0.6557898631150573,0.6557898631150573
1971,,,0.5204826929183868,0.5204826929183868
1972,,,0.7183234652539732,0.7183234652539732
1973,,,0.16266126992157853,0.16266126992157853
1974,,,-0.1350218565183852,-0.1350218565183852
1975,,,0.17188449848024315,0.17188449848024315
1976,,,-0.07228217952092657,-0.07228217952092657
1977,,,0.09656631002737,0.09656631002737
1978,,-0.1278283485045514,-0.1806029882604056,-0.17161833075049815
1979,,0.12471337579617844,-0.21145258733911215,-0.1539851916376306
1980,,0.4886058981233242,-0.16947852760736196,-0.06408329755259769
1981,,0.4396602658788775,0.021667965705377993,0.1304439746300211
1982,,0.24518118735543562,-0.020109371116082485,0.04456766917293235
1983,,-0.031141199226305646,-0.16378504672897196,-0.13301929116195607
1984,,-0.019341974077766735,-0.23122284295468654,-0.18092307692307694
1985,,-0.08878205128205129,-0.3596449704142012,-0.2866032843560934
1986,,0.20393794749403338,-0.35855242808536963,-0.1665104909350173
1987,,-0.07524644030668132,-0.11660516605166053,-0.10248644606468504
1988,,0.15893491124260353,-0.1257350957647694,-0.010124959948734406
1989,,-0.07342867896123448,0.10174157303370784,0.02687791539327649
1990,,-0.1242481203007519,-0.2051254089422028,-0.17543133195307106
1991,0.2460984393757503,-0.0062994960403167845,-0.12489247311827958,0.08797295243883908
1992,0.23772490706319707,-0.062485875706214694,-0.1965426233834785,0.05225149973422435
1993,0.2043264942016057,0.25089376053962903,-0.1994087403598972,0.11379637236933575
1994,0.2957192838032517,0.005210420841683351,-0.13882681564245813,0.14070270270270266
1995,0.41372344130964817,0.04534751234333463,-0.21879441958410106,0.22546327305202057
1996,0.4860866758130901,0.05127020785219401,-0.12085873310363104,0.2981245115915603
1997,0.4382214022140221,0.1653498190591073,-0.07629036709908919,0.3030797013031383
1998,0.4820444308725857,0.13595088520845236,0.09835700362016149,0.353783676703645
1999,0.3856466636127653,0.1201016374929418,-0.17639472105578885,0.24474316611595073
2000,0.43914684167350293,0.1413431769468921,-0.16496890731418415,0.272670241829404
2001,0.45853258321612755,0.07428756476683938,-0.2973087390384034,0.2521676230891643
2002,0.3950982732553513,0.13603646833013439,-0.10171232876712329,0.2609665613876773
2003,0.4578602453707232,0.16597465034965034,-0.07573026724673705,0.31191375436248026
2004,0.5492232155943134,0.040288500609508365,-0.20173357664233577,0.3216370790629575
2005,0.5680836428669692,0.3283481701285855,-0.2977941176470588,0.3914161963512272
2006,0.7369939171953692,0.30776466248616746,-0.349433731251913,0.49190925014596715
2007,0.859628575126181,0.28968142091908655,-0.22963659147869675,0.5674708624708625
2008,0.8806939986677165,0.3982968706729438,-0.3791226384886327,0.6044902822250354
2009,0.8191511727218973,0.4955467372134039,-0.33364667747163695,0.5898327359617682
2010,0.8378731590818629,0.3468446601941747,-0.09254125412541253,0.592650631681244
2011,0.8577316486161252,0.5238970010990736,0.014129353233830844,0.6781572065836025
2012,0.8770852679302998,0.4864237895064612,-0.046992356264539736,0.6863873968059411
2013,0.828235471092614,0.6422648514851486,0.30631793478260866,0.7349289632380499
2014,0.840943522868923,0.5052623384711193,0.34188210961737325,0.7215393280763369
2015,0.8106667919740613,0.5603363293708321,0.44607543323139653,0.7207056101792945
2016,0.6904099228558463,0.6705864417115561,0.19571574294457664,0.6398184772943305
2017,0.771824817518248,0.37497264171591155,0.306389556853315,0.608738213724463
2018,0.7589368849077731,0.21673387096774194,0.04207801173627887,0.5086382864432955
2019,0.568182373046875,0.13915273132664438,0.1349376114081996,0.3883589616108527
2020,0.4583023408444542,-0.21016433353621428,-0.3404924760601916,0.0972743856636978
2021,0.34455739093604404,-0.4389859906604403,-0.6241126966703255,-0.04213679480778832
2022,0.49555777389568256,-0.0986402719456109,-0.43864883401920435,0.19612727147101494
2023,0.4306559493076742,0.03346161066266193,-0.2709785522788203,0.22449644742845967
2024,0.6123943009382601,0.04680277003327639,-0.3345152895250488,0.31996249086112083
