,year,tier,n,mean,ci_lower,ci_upper
36,1991,futures,1241,21.71982272360999,21.48541333273436,21.95423211448562
39,1992,futures,1222,21.545417348608837,21.3270405534729,21.76379414374477
42,1993,futures,1483,21.627039784221175,21.440639131709133,21.813440436733217
45,1994,futures,1555,21.60128617363344,21.40863893539969,21.79393341186719
48,1995,futures,1750,21.596228571428572,21.413847508409074,21.77860963444807
51,1996,futures,1769,21.60152628603731,21.42779148738697,21.77526108468765
54,1997,futures,2007,21.45092177379173,21.28722658693991,21.614616960643552
57,1998,futures,2093,21.417486860965123,21.254503399000846,21.5804703229294
60,1999,futures,2150,21.392232558139536,21.239049505038388,21.545415611240685
63,2000,futures,2083,21.58473355736918,21.429075473063627,21.740391641674734
66,2001,futures,2185,21.592128146453092,21.435217609434975,21.74903868347121
69,2002,futures,2076,21.734200385356452,21.569049447615086,21.899351323097818
72,2003,futures,2286,21.674496937882765,21.50815868216409,21.84083519360144
75,2004,futures,2296,21.636628919860627,21.472330124807332,21.80092771491392
78,2005,futures,2474,21.546321746160064,21.389534772939218,21.70310871938091
81,2006,futures,2571,21.539828860365617,21.387569019826213,21.69208870090502
84,2007,futures,2680,21.58167910447761,21.428037624587443,21.73532058436778
87,2008,futures,2759,21.45860819137369,21.305560315469393,21.611656067277984
90,2009,futures,2557,21.548611654282364,21.393433412483326,21.703789896081403
93,2010,futures,2559,21.567448221961705,21.406728687143033,21.728167756780376
96,2011,futures,2850,21.527508771929824,21.373171238278193,21.681846305581455
99,2012,futures,3038,21.533048057932852,21.379963231258234,21.68613288460747
102,2013,futures,3350,21.506149253731344,21.359503140171377,21.65279536729131
105,2014,futures,3334,21.62747450509898,21.477172316901697,21.777776693296264
108,2015,futures,3407,21.707543293219842,21.562273738966393,21.85281284747329
111,2016,futures,3105,21.774460547504024,21.622455835314376,21.92646525969367
114,2017,futures,2875,22.027373913043476,21.87014263698305,22.184605189103902
117,2018,futures,2826,22.05527246992215,21.895350932154795,22.215194007689508
120,2019,futures,2441,22.075829578041784,21.91428597299215,22.237373183091417
123,2020,futures,1290,22.723720930232556,22.50483567008197,22.94260619038314
126,2021,futures,2059,22.403059737736765,22.225863882272648,22.58025559320088
129,2022,futures,2502,22.45439648281375,22.294178753189943,22.614614212437555
132,2023,futures,2435,22.870677618069816,22.70540701050543,23.035948225634204
135,2024,futures,2338,23.263857998289136,23.090352474318472,23.4373635222598
0,1968,main,541,25.110351201478743,24.538850636994017,25.68185176596347
1,1969,main,416,25.669471153846153,25.020468945050656,26.31847336264165
2,1970,main,411,25.841362530413623,25.199384402539522,26.483340658287723
3,1971,main,439,26.148291571753987,25.53586436030514,26.760718783202833
4,1972,main,446,25.895515695067264,25.32857124586155,26.462460144272978
5,1973,main,471,25.801698513800424,25.26034884884796,26.343048178752888
6,1974,main,463,26.069762419006477,25.53252221263518,26.607002625377774
7,1975,main,438,26.008675799086756,25.508803469095263,26.50854812907825
8,1976,main,432,25.97037037037037,25.458177921710014,26.48256281903073
9,1977,main,436,25.896330275229356,25.350380649154136,26.442279901304577
10,1978,main,447,25.638255033557044,25.14331335769992,26.133196709414168
12,1979,main,447,25.54675615212528,25.051146415074864,26.042365889175695
14,1980,main,504,25.018650793650792,24.576654136039274,25.46064745126231
16,1981,main,522,24.978352490421457,24.561114065416007,25.395590915426908
18,1982,main,519,24.54932562620424,24.133841249285084,24.964810003123397
20,1983,main,479,24.36492693110647,23.935756038979182,24.79409782323376
22,1984,main,473,24.14672304439746,23.75013382895007,24.543312259844853
24,1985,main,499,23.757114228456913,23.38713678578516,24.127091671128667
26,1986,main,499,23.739078156312623,23.382802425863282,24.095353886761963
28,1987,main,508,23.81082677165354,23.473662532148836,24.147991011158247
30,1988,main,575,23.438608695652174,23.12346299189276,23.753754399411587
32,1989,main,580,23.494137931034484,23.175558892642467,23.8127169694265
34,1990,main,542,23.471033210332102,23.140410671606304,23.8016557490579
37,1991,main,535,23.747289719626167,23.410886471833553,24.08369296741878
40,1992,main,506,23.794466403162055,23.450059188533082,24.138873617791027
43,1993,main,496,23.960282258064513,23.607820199500964,24.312744316628063
46,1994,main,520,23.886153846153846,23.553297850854083,24.21900984145361
49,1995,main,495,24.082626262626263,23.73943494853329,24.425817576719236
52,1996,main,500,24.194599999999998,23.85365536903945,24.535544630960544
55,1997,main,499,24.114829659318637,23.77776889606875,24.451890422568525
58,1998,main,497,24.044869215291747,23.69606129683632,24.393677133747175
61,1999,main,480,24.206875,23.846777434231498,24.566972565768502
64,2000,main,485,24.336082474226803,23.978968360117474,24.693196588336132
67,2001,main,478,24.403556485355647,24.056909788382377,24.750203182328917
70,2002,main,480,24.267708333333335,23.923452653767797,24.611964012898873
73,2003,main,517,24.30541586073501,23.968169429754628,24.642662291715393
76,2004,main,505,24.248514851485147,23.894658733472095,24.6023709694982
79,2005,main,491,24.24073319755601,23.88350277199384,24.597963623118183
82,2006,main,524,24.492938931297708,24.136208281020966,24.84966958157445
85,2007,main,489,24.617791411042944,24.24633350135388,24.989249320732007
88,2008,main,492,24.74451219512195,24.370164614014723,25.118859776229176
91,2009,main,463,24.965010799136067,24.579226886092766,25.35079471217937
94,2010,main,472,24.69533898305085,24.30796708597476,25.08271088012694
97,2011,main,459,25.12331154684096,24.74764337161516,25.49897972206676
100,2012,main,457,25.3800875273523,25.006312994314833,25.753862060389764
103,2013,main,453,25.26710816777042,24.858113313264507,25.676103022276333
106,2014,main,428,25.246028037383176,24.81514921881438,25.676906855951973
109,2015,main,429,25.558041958041958,25.12991360218613,25.986170313897787
112,2016,main,430,25.55604651162791,25.100346875890473,26.011746147365344
115,2017,main,438,25.90821917808219,25.4457328988434,26.370705457320984
118,2018,main,419,25.44105011933174,24.96465436106858,25.917445877594904
121,2019,main,364,26.1521978021978,25.64870731879659,26.655688285599012
124,2020,main,345,26.091594202898552,25.557422967376212,26.625765438420892
127,2021,main,392,26.537244897959184,26.03058614241929,27.04390365349908
130,2022,main,406,26.06896551724138,25.57882285574008,26.559108178742683
133,2023,main,439,25.984054669703873,25.507241922974757,26.46086741643299
136,2024,main,439,25.983599088838268,25.515020246389213,26.452177931287324
11,1978,qual_chall,240,24.79375,24.16497287322042,25.422527126779578
13,1979,qual_chall,275,24.549454545454548,24.049050651505603,25.049858439403494
15,1980,qual_chall,305,24.507540983606557,24.00132618814686,25.013755779066255
17,1981,qual_chall,453,24.03399558498896,23.596487487048925,24.471503682928997
19,1982,qual_chall,458,23.77751091703057,23.35405032065905,24.200971513402088
21,1983,qual_chall,395,23.898987341772152,23.443394613838297,24.354580069706007
23,1984,qual_chall,411,23.88661800486618,23.45515284537679,24.318083164355567
25,1985,qual_chall,448,23.562276785714285,23.18112787724521,23.94342569418336
27,1986,qual_chall,539,23.297402597402595,22.93171135210944,23.66309384269575
29,1987,qual_chall,541,23.00739371534196,22.67480436637583,23.339983064308086
31,1988,qual_chall,701,22.836376604850212,22.541863030279853,23.13089017942057
33,1989,qual_chall,716,22.937849162011172,22.65717278376737,23.218525540254976
35,1990,qual_chall,540,23.103518518518516,22.796291217480846,23.410745819556187
38,1991,qual_chall,620,23.136129032258065,22.8273341184733,23.44492394604283
41,1992,qual_chall,539,23.124675324675326,22.806073009963157,23.443277639387496
44,1993,qual_chall,625,22.975839999999998,22.689175276612673,23.262504723387323
47,1994,qual_chall,632,23.07262658227848,22.790789172545136,23.354463992011826
50,1995,qual_chall,589,23.068421052631578,22.767672273916677,23.36916983134648
53,1996,qual_chall,646,23.08204334365325,22.79502489604883,23.36906179125767
56,1997,qual_chall,687,23.15269286754003,22.87985710229844,23.425528632781617
59,1998,qual_chall,670,23.05044776119403,22.767734916288145,23.333160606099913
62,1999,qual_chall,721,23.035228848821085,22.767686230035725,23.302771467606444
65,2000,qual_chall,737,23.227272727272727,22.960691640196785,23.493853814348668
68,2001,qual_chall,813,23.277367773677735,22.999213031111047,23.555522516244423
71,2002,qual_chall,722,23.113434903047093,22.824321333625104,23.402548472469082
74,2003,qual_chall,790,23.41518987341772,23.143574538233583,23.686805208601857
77,2004,qual_chall,834,23.35539568345324,23.086142595982913,23.624648770923564
80,2005,qual_chall,845,23.337633136094674,23.06727627238427,23.607989999805078
83,2006,qual_chall,865,23.631560693641617,23.357133017378,23.905988369905234
86,2007,qual_chall,1119,23.549597855227884,23.297042960258203,23.802152750197564
89,2008,qual_chall,1136,23.61681338028169,23.360316688422678,23.873310072140704
92,2009,qual_chall,1081,23.81517113783534,23.536162410605296,24.09417986506538
95,2010,qual_chall,987,23.919756838905773,23.63815649230893,24.201357185502616
98,2011,qual_chall,1054,23.934535104364326,23.65542072982103,24.21364947890762
101,2012,qual_chall,1106,23.978028933092226,23.711044879490583,24.24501298669387
104,2013,qual_chall,1116,23.956720430107527,23.686371095384104,24.22706976483095
107,2014,qual_chall,1072,24.00233208955224,23.72473922833384,24.279924950770642
110,2015,qual_chall,1062,24.153389830508477,23.875456559728995,24.43132310128796
113,2016,qual_chall,1815,23.14236914600551,22.922028036589804,23.362710255421216
116,2017,qual_chall,1547,24.044020685197154,23.807340776648985,24.280700593745323
119,2018,qual_chall,1457,24.153740562800273,23.91416504086236,24.393316084738185
122,2019,qual_chall,1015,24.63477832512315,24.34115258762702,24.928404062619283
125,2020,qual_chall,694,25.18487031700288,24.821867409473402,25.547873224532356
128,2021,qual_chall,945,24.98973544973545,24.661053838779456,25.31841706069144
131,2022,qual_chall,1287,24.739704739704738,24.473467199024903,25.005942280384573
134,2023,qual_chall,1347,24.734001484780993,24.4785318868892,24.989471082672786
137,2024,qual_chall,1425,24.48638596491228,24.246438215455825,24.726333714368735
